epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0492,0.6503,1.01343,1.35209,0.46801,0.8094,0.49546,0.24563,1.17077,5.81733,1.70839,0.000331754,0.000331754,0.0671564
2,101.556,0.59155,0.66203,1.29433,0.97386,0.98433,0.99315,0.78934,0.65652,3.88386,1.4606,0.000658503,0.000658503,0.0341498
3,121.483,0.57361,0.57385,1.29383,0.96049,0.9522,0.98357,0.76813,0.73999,0.60187,1.37814,0.000978652,0.000978652,0.00113663
4,140.754,0.56745,0.54585,1.28282,0.98442,0.99009,0.99424,0.79562,0.67739,0.84842,1.31937,0.0009703,0.0009703,0.0009703
5,160.049,0.56693,0.52501,1.27378,0.95269,0.97389,0.98404,0.73592,0.77135,0.72312,1.41298,0.0009604,0.0009604,0.0009604
6,181.48,0.54258,0.50534,1.25867,0.99431,0.99478,0.99497,0.82081,0.62264,0.7679,1.27071,0.0009505,0.0009505,0.0009505
7,202.417,0.52889,0.46658,1.2542,0.97181,0.98433,0.9903,0.80656,0.67181,0.70159,1.30687,0.0009406,0.0009406,0.0009406
8,224.731,0.53842,0.47044,1.25086,0.98943,1,0.99466,0.83694,0.59389,1.04498,1.2312,0.0009307,0.0009307,0.0009307
9,244.584,0.5223,0.44711,1.24261,0.79339,0.89231,0.87981,0.64705,0.75046,0.70954,1.31441,0.0009208,0.0009208,0.0009208
10,265.099,0.51075,0.43051,1.23894,0.99611,1,0.9949,0.78663,0.71233,0.8493,1.26798,0.0009109,0.0009109,0.0009109
11,285.705,0.50537,0.43802,1.23316,0.99218,0.9944,0.9945,0.81671,0.64383,0.77302,1.27529,0.000901,0.000901,0.000901
12,306.405,0.46625,0.41485,1.20534,0.97983,0.99217,0.99391,0.79946,0.69136,0.58875,1.26521,0.0008911,0.0008911,0.0008911
13,328.147,0.48893,0.41763,1.22494,0.98643,1,0.99457,0.81994,0.62397,0.52811,1.17587,0.0008812,0.0008812,0.0008812
14,353.019,0.4936,0.42726,1.22351,0.98922,0.99739,0.99495,0.82826,0.60994,0.39732,1.18341,0.0008713,0.0008713,0.0008713
15,375.923,0.47014,0.40348,1.20521,0.98436,0.99217,0.99266,0.8367,0.57115,0.48211,1.13781,0.0008614,0.0008614,0.0008614
16,400.911,0.48154,0.41516,1.20628,0.94961,0.98433,0.99128,0.79187,0.64336,0.44539,1.18403,0.0008515,0.0008515,0.0008515
17,422.031,0.47837,0.40099,1.21503,0.9833,0.99739,0.99452,0.82245,0.62388,0.62355,1.17312,0.0008416,0.0008416,0.0008416
18,443.46,0.47165,0.38717,1.2082,0.98448,0.99355,0.99384,0.82419,0.62525,0.49525,1.24375,0.0008317,0.0008317,0.0008317
19,465.346,0.47069,0.3946,1.20252,0.98454,0.99793,0.99461,0.82218,0.62643,0.51132,1.18636,0.0008218,0.0008218,0.0008218
20,485.591,0.4584,0.39406,1.18696,0.99739,0.99895,0.99466,0.81698,0.64598,0.55654,1.191,0.0008119,0.0008119,0.0008119
21,505.943,0.44684,0.36159,1.17638,0.9922,0.99623,0.99382,0.85248,0.57429,0.45796,1.15747,0.000802,0.000802,0.000802
22,526.414,0.43971,0.3762,1.17615,0.99915,1,0.995,0.83894,0.62759,0.36848,1.2263,0.0007921,0.0007921,0.0007921
23,546.662,0.45342,0.36513,1.18698,0.99128,0.99217,0.99356,0.77238,0.66876,0.47757,1.18466,0.0007822,0.0007822,0.0007822
24,567.141,0.44535,0.36832,1.17504,0.99082,0.99478,0.99376,0.85889,0.53467,0.65056,1.11584,0.0007723,0.0007723,0.0007723
25,587.623,0.43443,0.36912,1.17956,0.99874,1,0.995,0.82862,0.61484,0.44005,1.18282,0.0007624,0.0007624,0.0007624
26,607.974,0.43398,0.35972,1.1797,1,0.99667,0.995,0.85827,0.55444,0.39227,1.11172,0.0007525,0.0007525,0.0007525
27,629.022,0.43295,0.35484,1.17775,0.98183,0.99478,0.99388,0.81896,0.65661,0.69608,1.18542,0.0007426,0.0007426,0.0007426
28,649.515,0.44373,0.36041,1.17799,0.99739,0.99965,0.99469,0.86187,0.54971,0.84511,1.11241,0.0007327,0.0007327,0.0007327
29,670.219,0.42866,0.34203,1.1676,0.98195,0.99421,0.99463,0.84494,0.59653,0.62407,1.13274,0.0007228,0.0007228,0.0007228
30,693.157,0.43813,0.36333,1.17797,0.96878,0.95039,0.98809,0.83158,0.592,0.48504,1.13345,0.0007129,0.0007129,0.0007129
31,714.664,0.41862,0.35487,1.16428,0.99213,0.99478,0.99376,0.85663,0.54496,0.43476,1.12483,0.000703,0.000703,0.000703
32,734.925,0.42144,0.3522,1.17559,0.99921,0.99739,0.995,0.83624,0.61147,0.40468,1.12022,0.0006931,0.0006931,0.0006931
33,755.179,0.4145,0.34608,1.16484,1,0.99895,0.995,0.86269,0.5694,0.49644,1.07944,0.0006832,0.0006832,0.0006832
34,775.574,0.41351,0.3343,1.16102,0.99714,0.99478,0.9949,0.87142,0.52189,0.4325,1.09082,0.0006733,0.0006733,0.0006733
35,795.965,0.41452,0.33851,1.16486,0.99054,0.98695,0.99458,0.86091,0.57813,0.41122,1.10574,0.0006634,0.0006634,0.0006634
36,816.884,0.39587,0.33168,1.14321,1,0.99718,0.995,0.87981,0.52739,0.44904,1.07191,0.0006535,0.0006535,0.0006535
37,838.005,0.40177,0.33337,1.14443,0.99221,0.99738,0.99362,0.86372,0.52978,0.51601,1.09593,0.0006436,0.0006436,0.0006436
38,859.12,0.40556,0.32988,1.15582,0.99203,0.97467,0.99438,0.87135,0.5355,0.54302,1.05006,0.0006337,0.0006337,0.0006337
39,879.916,0.4064,0.32974,1.15132,0.99053,0.99739,0.99405,0.86461,0.53883,0.39031,1.08789,0.0006238,0.0006238,0.0006238
40,900.505,0.40674,0.33352,1.14822,0.98948,0.99739,0.99484,0.8652,0.56303,0.59961,1.10828,0.0006139,0.0006139,0.0006139
41,921.334,0.39554,0.32376,1.1476,0.98962,0.99525,0.99397,0.88148,0.49177,0.40647,1.06432,0.000604,0.000604,0.000604
42,945.288,0.38993,0.31995,1.13563,0.98961,0.99471,0.99393,0.88413,0.50295,0.35798,1.06176,0.0005941,0.0005941,0.0005941
43,967.932,0.39708,0.3183,1.13851,0.99471,0.99739,0.99406,0.86208,0.52078,0.44349,1.07551,0.0005842,0.0005842,0.0005842
44,989.812,0.3802,0.32005,1.13217,0.99738,0.99374,0.99497,0.87203,0.54749,0.58646,1.06214,0.0005743,0.0005743,0.0005743
45,1011.39,0.39473,0.32045,1.14034,0.99168,1,0.99495,0.88543,0.50892,0.3325,1.044,0.0005644,0.0005644,0.0005644
46,1032.86,0.39022,0.32399,1.14241,0.98991,0.99478,0.99412,0.87249,0.4849,0.50337,1.00731,0.0005545,0.0005545,0.0005545
47,1054.14,0.3807,0.32373,1.12404,0.99964,1,0.995,0.87886,0.51069,0.34995,1.02516,0.0005446,0.0005446,0.0005446
48,1074.65,0.37628,0.29877,1.12915,0.99432,0.99478,0.99492,0.8743,0.53384,0.45476,1.06116,0.0005347,0.0005347,0.0005347
49,1095.12,0.38283,0.31572,1.12978,0.99218,0.99345,0.99482,0.88262,0.50504,0.40305,1.03816,0.0005248,0.0005248,0.0005248
50,1115.77,0.38041,0.31225,1.12972,0.99363,0.99739,0.99495,0.8669,0.51865,0.35217,1.05587,0.0005149,0.0005149,0.0005149
51,1136.45,0.38627,0.31779,1.13489,0.99428,1,0.99487,0.89196,0.4871,0.55087,1.00451,0.000505,0.000505,0.000505
52,1158.22,0.36699,0.30301,1.12373,0.99708,0.99739,0.99487,0.89364,0.47546,0.32607,1.00216,0.0004951,0.0004951,0.0004951
53,1179.77,0.36657,0.30755,1.11709,0.9948,0.99996,0.995,0.89217,0.45645,0.2948,0.99502,0.0004852,0.0004852,0.0004852
54,1200.41,0.35925,0.30184,1.11348,0.99739,0.99634,0.995,0.8895,0.48701,0.38228,1.01989,0.0004753,0.0004753,0.0004753
55,1220.88,0.35444,0.2904,1.10856,0.99473,0.99739,0.995,0.88391,0.51556,0.42597,1.02509,0.0004654,0.0004654,0.0004654
56,1240.91,0.37009,0.29931,1.11072,0.99859,1,0.995,0.87852,0.51096,0.40086,1.04754,0.0004555,0.0004555,0.0004555
57,1261.29,0.37163,0.32019,1.11967,0.99425,1,0.99466,0.87808,0.4778,0.31045,1.02931,0.0004456,0.0004456,0.0004456
58,1281.87,0.35577,0.29682,1.11179,0.9948,0.9987,0.99444,0.88442,0.50544,0.53268,1.02526,0.0004357,0.0004357,0.0004357
59,1302.9,0.35905,0.29388,1.11411,0.99223,0.9999,0.99471,0.88024,0.47893,0.49849,1.01113,0.0004258,0.0004258,0.0004258
60,1323.47,0.35371,0.28425,1.1103,0.99739,0.999,0.99456,0.88289,0.50829,0.32518,1.01463,0.0004159,0.0004159,0.0004159
61,1343.64,0.3492,0.29159,1.10768,0.99682,0.99478,0.99495,0.88697,0.50078,0.34015,1.02026,0.000406,0.000406,0.000406
62,1363.99,0.35946,0.29801,1.11539,0.99897,1,0.995,0.88434,0.51045,0.34855,1.01602,0.0003961,0.0003961,0.0003961
63,1383.92,0.34603,0.28592,1.09569,0.99166,1,0.99463,0.87147,0.54841,0.34041,1.05876,0.0003862,0.0003862,0.0003862
64,1405.19,0.34971,0.29283,1.10438,0.99632,0.99478,0.99482,0.88609,0.50719,0.36878,1.01736,0.0003763,0.0003763,0.0003763
65,1427.05,0.35471,0.29442,1.11069,0.99674,1,0.995,0.88973,0.48528,0.33591,0.98306,0.0003664,0.0003664,0.0003664
66,1446.97,0.34868,0.28256,1.10394,0.99679,0.99217,0.99369,0.89495,0.4572,0.32357,1.00551,0.0003565,0.0003565,0.0003565
67,1466.72,0.34113,0.27635,1.09739,0.99708,0.99739,0.99328,0.89185,0.47869,0.34245,1.01217,0.0003466,0.0003466,0.0003466
68,1486.96,0.34763,0.28067,1.10311,0.9948,0.99992,0.995,0.88987,0.49178,0.41901,0.99122,0.0003367,0.0003367,0.0003367
69,1507.1,0.33076,0.27962,1.09287,0.99683,0.99739,0.99497,0.88742,0.46998,0.32734,0.9757,0.0003268,0.0003268,0.0003268
70,1527.29,0.34606,0.28329,1.10245,0.99938,1,0.995,0.89857,0.45067,0.32083,0.97188,0.0003169,0.0003169,0.0003169
71,1547.66,0.34601,0.28661,1.11182,0.99947,1,0.995,0.8996,0.46119,0.36728,0.97451,0.000307,0.000307,0.000307
72,1567.65,0.33341,0.27767,1.09451,0.99725,1,0.99497,0.88328,0.49463,0.34166,0.99707,0.0002971,0.0002971,0.0002971
73,1588.15,0.33215,0.27599,1.09178,0.99739,0.99927,0.99474,0.89964,0.47281,0.32558,0.98254,0.0002872,0.0002872,0.0002872
74,1608.63,0.32598,0.26358,1.08716,0.9948,0.99953,0.995,0.90387,0.45832,0.31882,0.98406,0.0002773,0.0002773,0.0002773
75,1628.91,0.33496,0.26404,1.09198,0.99713,1,0.99497,0.89232,0.47671,0.35125,1.00828,0.0002674,0.0002674,0.0002674
76,1650.12,0.32084,0.2631,1.07678,0.99673,1,0.995,0.90913,0.44574,0.33814,0.94812,0.0002575,0.0002575,0.0002575
77,1671.31,0.32778,0.26515,1.08839,0.99918,1,0.995,0.89998,0.47673,0.40929,0.98447,0.0002476,0.0002476,0.0002476
78,1691.46,0.31654,0.25684,1.08085,0.99459,1,0.995,0.90761,0.45763,0.3263,0.98273,0.0002377,0.0002377,0.0002377
79,1711.63,0.31682,0.26562,1.07929,0.99445,1,0.99466,0.9065,0.47178,0.34938,0.98217,0.0002278,0.0002278,0.0002278
80,1732.03,0.30643,0.25857,1.07831,0.99904,1,0.995,0.90483,0.45854,0.31484,0.96095,0.0002179,0.0002179,0.0002179
81,1753.79,0.31317,0.26068,1.07941,1,0.99901,0.995,0.89349,0.48778,0.31386,0.96714,0.000208,0.000208,0.000208
82,1774.11,0.30004,0.25707,1.06532,0.9974,0.99995,0.995,0.9011,0.45473,0.32683,0.95757,0.0001981,0.0001981,0.0001981
83,1794.31,0.30433,0.2526,1.06706,0.99422,1,0.99497,0.90855,0.43404,0.32302,0.94873,0.0001882,0.0001882,0.0001882
84,1814.43,0.30811,0.25393,1.07636,0.99738,0.99497,0.995,0.90313,0.45315,0.31625,0.95057,0.0001783,0.0001783,0.0001783
85,1834.63,0.31229,0.24943,1.0788,0.99896,1,0.995,0.90931,0.44087,0.31495,0.93448,0.0001684,0.0001684,0.0001684
86,1854.88,0.2964,0.24814,1.06703,0.99717,1,0.995,0.90624,0.44063,0.32339,0.94977,0.0001585,0.0001585,0.0001585
87,1874.89,0.30672,0.25394,1.07339,0.99914,1,0.995,0.90647,0.44267,0.3133,0.94406,0.0001486,0.0001486,0.0001486
88,1897.13,0.29386,0.25292,1.06887,0.99739,0.9996,0.995,0.90092,0.46905,0.32736,0.9635,0.0001387,0.0001387,0.0001387
89,1918.55,0.29437,0.24773,1.05773,1,0.99668,0.995,0.90432,0.43709,0.3313,0.94831,0.0001288,0.0001288,0.0001288
90,1939.09,0.29081,0.24861,1.06977,0.99968,0.99739,0.995,0.91166,0.44324,0.33018,0.95332,0.0001189,0.0001189,0.0001189
91,1986.5,0.26611,0.2163,1.13497,1,0.99954,0.995,0.90559,0.4311,0.43961,0.93225,0.000109,0.000109,0.000109
92,2005.85,0.2367,0.16638,1.10427,0.99528,1,0.99497,0.90641,0.45374,0.34249,0.9577,9.91e-05,9.91e-05,9.91e-05
93,2025.03,0.22648,0.15425,1.0933,0.99479,0.99795,0.99463,0.91438,0.42306,0.3233,0.93061,8.92e-05,8.92e-05,8.92e-05
94,2044.68,0.23109,0.15933,1.09359,0.99978,0.99739,0.995,0.91153,0.43677,0.33966,0.94998,7.93e-05,7.93e-05,7.93e-05
95,2064.67,0.22396,0.15656,1.0959,1,0.99923,0.995,0.91109,0.42754,0.32501,0.94212,6.94e-05,6.94e-05,6.94e-05
96,2084.53,0.22307,0.14921,1.08433,0.99941,0.99739,0.995,0.91256,0.43585,0.33201,0.94662,5.95e-05,5.95e-05,5.95e-05
97,2104.57,0.20943,0.14587,1.06783,1,0.99931,0.995,0.91249,0.43004,0.33125,0.93186,4.96e-05,4.96e-05,4.96e-05
98,2125.32,0.21807,0.14593,1.08619,0.99963,1,0.995,0.9151,0.43646,0.33578,0.93838,3.97e-05,3.97e-05,3.97e-05
99,2145.95,0.20743,0.14212,1.06751,0.9996,1,0.995,0.91569,0.42771,0.34111,0.93612,2.98e-05,2.98e-05,2.98e-05
100,2165.98,0.20088,0.13776,1.07388,0.99898,1,0.995,0.91669,0.42372,0.33728,0.93038,1.99e-05,1.99e-05,1.99e-05
