                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54502,                 1.7321,                 1.0284,                0.84864,                0.58027,                0.75025,                0.50394,                0.95878,                 2.6855,                 1.6367,             0.00065185,             0.00065185,             0.00065185
                      2,                0.61617,                 1.1183,                 1.0669,                0.91589,                0.75123,                0.90479,                0.64877,                0.81269,                 2.0746,                 1.4597,              0.0013098,              0.0013098,              0.0013098
                      3,                0.65556,                 0.9539,                 1.0813,                0.35745,                0.34483,                 0.3447,                0.17635,                  1.519,                 2.4751,                 2.0966,               0.001959,               0.001959,               0.001959
                      4,                 0.6944,                0.91225,                  1.094,                0.42362,                0.73511,                 0.5844,                0.13732,                  1.829,                  2.351,                 2.7957,              0.0019604,              0.0019604,              0.0019604
                      5,                 0.6313,                0.80346,                 1.0627,                0.59634,                0.81528,                0.72442,                0.44024,                 1.1356,                 1.9688,                 1.8026,              0.0019472,              0.0019472,              0.0019472
                      6,                0.61313,                0.70335,                 1.0382,                0.87234,                0.72414,                0.86446,                0.63479,                0.91275,                 1.1401,                 1.5524,               0.001934,               0.001934,               0.001934
                      7,                0.58616,                0.63654,                 1.0284,                0.23403,                0.48276,                0.20598,                0.11565,                 1.9602,                 3.0469,                 2.4297,              0.0019208,              0.0019208,              0.0019208
                      8,                0.56354,                0.60851,                 1.0265,                0.88726,                0.89655,                0.93678,                0.72333,                 0.7435,                 1.0339,                 1.2811,              0.0019076,              0.0019076,              0.0019076
                      9,                 0.5477,                0.56174,                 1.0072,                0.87538,                0.93103,                0.97687,                0.82064,                0.62619,                0.93519,                 1.2119,              0.0018944,              0.0018944,              0.0018944
                      1,                0.54502,                 1.7321,                 1.0284,                0.84864,                0.58027,                0.75025,                0.50394,                0.95878,                 2.6855,                 1.6367,             0.00065185,             0.00065185,             0.00065185
                      2,                0.61617,                 1.1183,                 1.0669,                0.91589,                0.75123,                0.90479,                0.64877,                0.81269,                 2.0746,                 1.4597,              0.0013098,              0.0013098,              0.0013098
                      3,                0.65556,                 0.9539,                 1.0813,                0.35745,                0.34483,                 0.3447,                0.17635,                  1.519,                 2.4751,                 2.0966,               0.001959,               0.001959,               0.001959
                      4,                 0.6944,                0.91225,                  1.094,                0.42362,                0.73511,                 0.5844,                0.13732,                  1.829,                  2.351,                 2.7957,              0.0019604,              0.0019604,              0.0019604
                      5,                 0.6313,                0.80346,                 1.0627,                0.59634,                0.81528,                0.72442,                0.44024,                 1.1356,                 1.9688,                 1.8026,              0.0019472,              0.0019472,              0.0019472
                      6,                0.61313,                0.70335,                 1.0382,                0.87234,                0.72414,                0.86446,                0.63479,                0.91275,                 1.1401,                 1.5524,               0.001934,               0.001934,               0.001934
                      7,                0.58616,                0.63654,                 1.0284,                0.23403,                0.48276,                0.20598,                0.11565,                 1.9602,                 3.0469,                 2.4297,              0.0019208,              0.0019208,              0.0019208
                      8,                0.56354,                0.60851,                 1.0265,                0.88726,                0.89655,                0.93678,                0.72333,                 0.7435,                 1.0339,                 1.2811,              0.0019076,              0.0019076,              0.0019076
                      9,                 0.5477,                0.56174,                 1.0072,                0.87538,                0.93103,                0.97687,                0.82064,                0.62619,                0.93519,                 1.2119,              0.0018944,              0.0018944,              0.0018944
                     10,                0.54611,                0.53245,                 1.0053,                0.76662,                0.93103,                0.87434,                0.68699,                0.70848,                0.92616,                 1.2847,              0.0018812,              0.0018812,              0.0018812
                     11,                0.52772,                0.52725,                 1.0096,                0.82095,                0.94886,                 0.8857,                0.67327,                0.74679,                0.96831,                 1.2786,               0.001868,               0.001868,               0.001868
                     12,                0.52314,                0.50746,                0.99287,                0.80476,                0.99504,                0.94566,                0.75985,                0.62885,                0.64625,                 1.2079,              0.0018548,              0.0018548,              0.0018548
                     13,                 0.5237,                0.49264,                 1.0012,                0.87659,                      1,                0.95745,                0.79996,                 0.6243,                0.73447,                 1.1729,              0.0018416,              0.0018416,              0.0018416
                     14,                0.49608,                0.47951,                0.99129,                0.85132,                0.93103,                0.94219,                0.68104,                0.83743,                0.79042,                 1.3738,              0.0018284,              0.0018284,              0.0018284
                     15,                0.48329,                0.44238,                0.97842,                0.80699,                0.82759,                0.84953,                0.69647,                0.66546,                0.77322,                   1.26,              0.0018152,              0.0018152,              0.0018152
                     16,                0.49117,                0.46281,                0.98403,                0.90171,                0.96552,                0.96865,                0.86294,                0.55491,                0.69176,                 1.0691,               0.001802,               0.001802,               0.001802
                     17,                0.46937,                0.44012,                0.97107,                0.90965,                0.96552,                0.98398,                0.87785,                0.51252,                0.49964,                 1.1137,              0.0017888,              0.0017888,              0.0017888
                     18,                0.47922,                0.44194,                0.98078,                0.90556,                0.99211,                0.96293,                0.83857,                0.51427,                0.48388,                 1.0732,              0.0017756,              0.0017756,              0.0017756
                     19,                0.48271,                0.44461,                0.98109,                0.93547,                0.99984,                0.97969,                0.89268,                0.45604,                0.46578,                 1.0265,              0.0017624,              0.0017624,              0.0017624
                     20,                0.48171,                0.44589,                 0.9745,                0.93255,                      1,                 0.9872,                0.89897,                 0.4576,                0.51278,                 1.0334,              0.0017492,              0.0017492,              0.0017492
                     21,                0.44632,                0.40118,                 0.9663,                0.92992,                0.96552,                0.96683,                0.84811,                0.50907,                0.52465,                 1.1151,               0.001736,               0.001736,               0.001736
                     22,                0.45915,                0.41235,                0.97557,                0.89933,                0.93103,                0.96066,                0.77388,                0.64035,                0.79651,                 1.1814,              0.0017228,              0.0017228,              0.0017228
                     23,                0.43849,                0.39362,                0.95965,                0.90835,                0.96552,                0.98654,                 0.8771,                0.51073,                0.58529,                 1.1133,              0.0017096,              0.0017096,              0.0017096
                     24,                0.44265,                0.39808,                0.95918,                0.87844,                      1,                0.97855,                0.92307,                0.36699,                0.41638,                 0.9655,              0.0016964,              0.0016964,              0.0016964
                     25,                0.42118,                0.37243,                  0.948,                0.90606,                0.99785,                0.97265,                 0.8822,                0.43037,                 0.4144,                0.94716,              0.0016832,              0.0016832,              0.0016832
                     26,                0.43483,                0.37904,                 0.9593,                0.90412,                      1,                  0.968,                0.88396,                0.47463,                0.44865,                 1.0236,                0.00167,                0.00167,                0.00167
                     27,                 0.4241,                0.37416,                0.95145,                0.93372,                0.97174,                0.97863,                0.86368,                0.47615,                0.55519,                  1.049,              0.0016568,              0.0016568,              0.0016568
                     28,                0.43272,                0.38701,                0.95051,                0.90292,                      1,                0.98661,                  0.886,                0.46462,                0.51211,                 1.0195,              0.0016436,              0.0016436,              0.0016436
                     29,                0.42684,                0.37752,                0.94846,                0.89316,                0.86493,                0.95973,                0.83635,                0.53164,                0.57413,                 1.1094,              0.0016304,              0.0016304,              0.0016304
                     30,                0.39275,                0.33947,                 0.9421,                0.93158,                      1,                0.96214,                0.86313,                0.44517,                0.48988,                 1.0122,              0.0016172,              0.0016172,              0.0016172
                     31,                0.41237,                0.36248,                0.96207,                0.96629,                0.98867,                0.98267,                0.90917,                0.42177,                0.45519,                0.96585,               0.001604,               0.001604,               0.001604
                     32,                0.40532,                0.36167,                0.94111,                0.93481,                 0.9892,                0.98113,                0.86777,                0.43432,                 0.4181,                 1.0399,              0.0015908,              0.0015908,              0.0015908
